name,type,start_time,duration,"ack","address","read","data"
"I2C","start",0.349527833,0.000000042,,,,
"I2C","address",0.349542375,0.000085333,true,0x76,false,
"I2C","data",0.349638,0.000085333,true,,,0xFA
"I2C","stop",0.349738542,0.000000042,,,,
"I2C","start",0.349758542,0.000000042,,,,
"I2C","address",0.349773083,0.000085333,true,0x76,true,
"I2C","data",0.349867583,0.000085333,true,,,0x80
"I2C","data",0.349963208,0.000085333,true,,,0xA8
"I2C","data",0.350058917,0.000085333,false,,,0x80
"I2C","stop",0.350160625,0.000000042,,,,
"I2C","start",0.350748292,0.000000042,,,,
"I2C","address",0.35076275,0.000085333,true,0x76,false,
"I2C","data",0.350858417,0.000085292,true,,,0xF7
"I2C","stop",0.350958917,0.000000042,,,,
"I2C","start",0.350978917,0.000000042,,,,
"I2C","address",0.350993417,0.000085292,true,0x76,true,
"I2C","data",0.351087958,0.000085333,true,,,0xFF
"I2C","data",0.351183583,0.000085333,true,,,0xFF
"I2C","data",0.351279292,0.000085333,false,,,0x80
"I2C","stop",0.351381,0.000000042,,,,
"I2C","start",0.351421125,0.000000042,,,,
"I2C","address",0.351435583,0.000085333,true,0x76,false,
"I2C","data",0.351538583,0.000085292,true,,,0xFA
"I2C","stop",0.351639083,0.000000042,,,,
"I2C","start",0.351659125,0.000000042,,,,
"I2C","address",0.351673625,0.000085333,true,0x76,true,
"I2C","data",0.351768125,0.000085333,true,,,0x80
"I2C","data",0.351863792,0.000085292,true,,,0xA8
"I2C","data",0.351959458,0.000085333,false,,,0x40
"I2C","stop",0.352061167,0.000000042,,,,
"I2C","start",1.3578205,0.000000042,,,,
"I2C","address",1.357834958,0.000085333,true,0x76,false,
"I2C","data",1.357930583,0.000085333,true,,,0xFA
"I2C","stop",1.358031125,0.000000042,,,,
"I2C","start",1.358051125,0.000000042,,,,
"I2C","address",1.358065583,0.000085333,true,0x76,true,
"I2C","data",1.358160167,0.000085333,true,,,0x80
"I2C","data",1.358255792,0.000085333,true,,,0xA7
"I2C","data",1.3583515,0.000085333,false,,,0x40
"I2C","stop",1.358453208,0.000000042,,,,
"I2C","start",1.359040875,0.000000042,,,,
"I2C","address",1.359055333,0.000085333,true,0x76,false,
"I2C","data",1.359151,0.000085292,true,,,0xF7
"I2C","stop",1.3592515,0.000000042,,,,
"I2C","start",1.3592715,0.000000042,,,,
"I2C","address",1.359286,0.000085292,true,0x76,true,
"I2C","data",1.359380542,0.000085333,true,,,0xFF
"I2C","data",1.359476208,0.000085292,true,,,0xFF
"I2C","data",1.359571875,0.000085333,false,,,0x80
"I2C","stop",1.359673583,0.000000042,,,,
"I2C","start",1.359708667,0.000000042,,,,
"I2C","address",1.359723167,0.000085292,true,0x76,false,
"I2C","data",1.359818792,0.000085333,true,,,0xFA
"I2C","stop",1.359919375,0.000000042,,,,
"I2C","start",1.359939375,0.000000042,,,,
"I2C","address",1.359953917,0.000085333,true,0x76,true,
"I2C","data",1.360048417,0.000085333,true,,,0x80
"I2C","data",1.360144042,0.000085333,true,,,0xA7
"I2C","data",1.36023975,0.000085333,false,,,0x40
"I2C","stop",1.360341458,0.000000042,,,,
"I2C","start",2.366095583,0.000000042,,,,
"I2C","address",2.366110125,0.000085333,true,0x76,false,
"I2C","data",2.36620575,0.000085333,true,,,0xFA
"I2C","stop",2.366306292,0.000000042,,,,
"I2C","start",2.366326292,0.000000042,,,,
"I2C","address",2.36634075,0.000085333,true,0x76,true,
"I2C","data",2.366435333,0.000085333,true,,,0x80
"I2C","data",2.366530958,0.000085333,true,,,0xA6
"I2C","data",2.366626667,0.000085292,false,,,0x40
"I2C","stop",2.366728375,0.000000042,,,,
"I2C","start",2.367316042,0.000000042,,,,
"I2C","address",2.367330583,0.000085292,true,0x76,false,
"I2C","data",2.367426208,0.000085333,true,,,0xF7
"I2C","stop",2.367526708,0.000000042,,,,
"I2C","start",2.36754675,0.000000042,,,,
"I2C","address",2.36756125,0.000085333,true,0x76,true,
"I2C","data",2.367655792,0.000085292,true,,,0xFF
"I2C","data",2.367751417,0.000085292,true,,,0xFF
"I2C","data",2.367847083,0.000085333,false,,,0x80
"I2C","stop",2.367948875,0.000000042,,,,
"I2C","start",2.367983958,0.000000042,,,,
"I2C","address",2.3679985,0.000085333,true,0x76,false,
"I2C","data",2.368094125,0.000085333,true,,,0xFA
"I2C","stop",2.368194667,0.000000042,,,,
"I2C","start",2.368214667,0.000000042,,,,
"I2C","address",2.368229125,0.000085333,true,0x76,true,
"I2C","data",2.368323625,0.000085333,true,,,0x80
"I2C","data",2.368419292,0.000085292,true,,,0xA6
"I2C","data",2.368514958,0.000085333,false,,,0x40
"I2C","stop",2.368616667,0.000000042,,,,
"I2C","start",3.374370958,0.000000042,,,,
"I2C","address",3.374385417,0.000085292,true,0x76,false,
"I2C","data",3.374481042,0.000085333,true,,,0xFA
"I2C","stop",3.374581542,0.000000042,,,,
"I2C","start",3.374601583,0.000000042,,,,
"I2C","address",3.374616083,0.000085333,true,0x76,true,
"I2C","data",3.374710625,0.000085292,true,,,0x80
"I2C","data",3.37480625,0.000085333,true,,,0xA5
"I2C","data",3.374901958,0.000085292,false,,,0x00
"I2C","stop",3.375003667,0.000000042,,,,
"I2C","start",3.375591333,0.000000042,,,,
"I2C","address",3.375605833,0.000085333,true,0x76,false,
"I2C","data",3.3757015,0.000085292,true,,,0xF7
"I2C","stop",3.375802,0.000000042,,,,
"I2C","start",3.375822042,0.000000042,,,,
"I2C","address",3.3758365,0.000085292,true,0x76,true,
"I2C","data",3.375931042,0.000085333,true,,,0xFF
"I2C","data",3.376026667,0.000085333,true,,,0xFF
"I2C","data",3.376122458,0.000085292,false,,,0x80
"I2C","stop",3.376224167,0.000000042,,,,
"I2C","start",3.37625925,0.000000042,,,,
"I2C","address",3.376273792,0.000085292,true,0x76,false,
"I2C","data",3.376369417,0.000085333,true,,,0xFA
"I2C","stop",3.37647,0.000000042,,,,
"I2C","start",3.37649,0.000000042,,,,
"I2C","address",3.376504542,0.000085333,true,0x76,true,
"I2C","data",3.376599042,0.000085333,true,,,0x80
"I2C","data",3.376694667,0.000085333,true,,,0xA5
"I2C","data",3.376790375,0.000085333,false,,,0x00
"I2C","stop",3.376892083,0.000000042,,,,
"I2C","start",4.382646167,0.000000042,,,,
"I2C","address",4.382660625,0.000085333,true,0x76,false,
"I2C","data",4.38275625,0.000085333,true,,,0xFA
"I2C","stop",4.382856792,0.000000042,,,,
"I2C","start",4.382876792,0.000000042,,,,
"I2C","address",4.38289125,0.000085333,true,0x76,true,
"I2C","data",4.382985833,0.000085333,true,,,0x80
"I2C","data",4.383081458,0.000085333,true,,,0xA3
"I2C","data",4.383177167,0.000085292,false,,,0xC0
"I2C","stop",4.383278875,0.000000042,,,,
"I2C","start",4.3838615,0.000000042,,,,
"I2C","address",4.383876,0.000085292,true,0x76,false,
"I2C","data",4.383971625,0.000085292,true,,,0xF7
"I2C","stop",4.384072125,0.000000042,,,,
"I2C","start",4.384092167,0.000000042,,,,
"I2C","address",4.384106667,0.000085333,true,0x76,true,
