4,612
6,480
21,467
5,281
24,257
19,206
12,913
4,709
4,723
6,556
58,414
6,209
25,020
5,111
7,895
7,199
49,317
4,605
9,218
8,356
7,548
4,927
5,520
5,226
123,976
9,046
4,612
6,928
5,446
60,239
6,284
41,045
107,898
84,805
4,678
5,083
35,179
13,461
35,720
44,366
30,174
5,299
151,414
9,753
6,803
15,852
4,951
9,808
64,711
7,347
5,392
60,723
6,983
6,212
9,174
27,790
25,032
66,733
53,782
25,302
4,699
11,933
4,606
16,453
7,981
4,606
4,644
6,978
4,620
4,919
4,668
190,600
9,856
8,332
18,488
5,978
23,256
6,298
37,005
4,641
125,363
9,978
7,849
3,290
9,405
8,045
6,411
128,553
17,262
59,861
5,367
6,066
5,265
4,635
7,116
181,252
4,872
97,783
4,669
4,740
8,632
6,254
7,331
51,051
105,455
100,110
8,083
8,430
41,194
43,780
5,678
8,859
14,587
17,835
46,761
6,020
8,206
9,029
4,382
5,638
4,610
4,942
6,006
4,620
123,477
8,734
74,524
6,741
50,471
7,322
54,474
7,444
5,519
14,038
4,769
90,723
16,644
4,654
69,469
5,868
25,226
5,499
67,009
9,695
18,274
9,577
7,720
9,442
4,864
8,161
7,922
8,372
4,698
245,178
33,586
4,657
7,346
4,790
122,633
6,084
7,031
16,141
5,200
7,843
45,617
79,639
16,078
85,836
9,080
7,401
6,918
5,205
7,763
6,730
4,612
16,355
8,366
6,471
67,734
7,951
45,538
63,571
6,261
4,694
4,620
57,603
8,122
21,000
6,331
4,625
4,689
5,313
35,943
5,298
6,277
7,481
4,727
102,333
16,502
25,568
8,507
15,806
24,339
66,065
65,637
33,363
26,171
5,741
6,419
12,803
9,655
15,373
27,791
5,054
5,830
5,376
5,716
8,504
6,137
188,722
4,990
26,255
13,194
4,794
9,144
16,155
8,313
8,762
44,623
4,635
69,831
49,373
9,202
9,323
6,979
5,806
5,870
9,718
4,688
5,036
5,547
23,004
7,426
4,655
6,942
5,654
4,613
8,505
4,892
96,434
101,075
7,216
18,853
5,247
8,891
273,304
66,930
48,769
23,932
55,282
20,449
14,772
5,789
4,640
7,568
61,824
6,621
5,334
4,696
5,320
8,911
9,484
133,829
7,426
58,610
66,734
22,333
4,951
5,987
5,497
49,820
53,903
129,283
24,103
6,458
4,875
48,320
9,917
7,079
5,238
15,542
14,110
81,879
8,129
14,973
36,060
23,228
29,795
4,961
5,813
